Source,CH1,CH2
Second,Volt,Volt
-0.00081920001,-1.76000,-1.40000
-0.00081911997,-1.52000,-1.40000
-0.00081904000,-1.52000,-1.40000
-0.00081896002,-1.36000,-1.40000
-0.00081887998,-1.28000,-1.40000
-0.00081880001,-1.20000,-1.40000
-0.00081871997,-1.04000,-1.40000
-0.00081863999,-0.88000,-1.40000
-0.00081856002,-0.88000,-1.40000
-0.00081847998,-0.64000,-1.40000
-0.00081840000,-0.56000,-1.40000
-0.00081831997,-0.40000,-1.20000
-0.00081823999,-0.32000,-1.20000
-0.00081816001,-0.24000,-1.20000
-0.00081807998,-0.08000,-1.20000
-0.00081800000,0.08000,-1.20000
-0.00081792002,0.08000,-1.20000
-0.00081783999,0.24000,-1.00000
-0.00081776001,0.40000,-1.00000
-0.00081767997,0.48000,-1.00000
-0.00081760000,0.64000,-1.00000
-0.00081752002,0.72000,-1.00000
-0.00081743998,0.88000,-0.80000
-0.00081736001,0.96000,-0.80000
-0.00081727997,1.04000,-0.80000
-0.00081719999,1.12000,-0.80000
-0.00081712002,1.28000,-0.80000
-0.00081703998,1.36000,-0.60000
-0.00081696000,1.44000,-0.60000
-0.00081687997,1.60000,-0.60000
-0.00081679999,1.68000,-0.60000
-0.00081672001,1.76000,-0.40000
-0.00081663998,1.92000,-0.60000
-0.00081656000,2.00000,-0.40000
-0.00081648002,2.08000,-0.40000
-0.00081639999,2.24000,-0.40000
-0.00081632001,2.32000,-0.40000
-0.00081623998,2.40000,-0.40000
-0.00081616000,2.48000,-0.40000
-0.00081608002,2.56000,-0.40000
-0.00081599999,2.72000,-0.40000
-0.00081592001,2.80000,-0.40000
-0.00081583997,2.88000,-0.40000
-0.00081576000,2.96000,-0.20000
-0.00081568002,3.04000,-0.40000
-0.00081559998,3.12000,-0.20000
-0.00081552000,3.20000,-0.20000
-0.00081543997,3.28000,0.00
-0.00081535999,3.36000,-0.20000
-0.00081528001,3.36000,-0.20000
-0.00081519998,3.52000,-0.20000
-0.00081512000,3.60000,0.00
-0.00081503997,3.60000,-0.40000
-0.00081495999,3.92000,0.20000
-0.00081488001,3.92000,0.00
-0.00081479998,4.00000,0.40000
-0.00081472000,4.08000,0.00
-0.00081464002,4.24000,0.40000
-0.00081455999,4.24000,0.00
-0.00081448001,4.32000,0.20000
-0.00081439997,4.32000,0.00
-0.00081432000,4.32000,0.20000
-0.00081424002,4.32000,0.00
-0.00081415998,4.32000,0.20000
-0.00081408001,4.40000,0.00
-0.00081399997,4.40000,0.20000
-0.00081391999,4.40000,0.00
-0.00081384002,4.40000,0.40000
-0.00081375998,4.48000,0.00
-0.00081368000,4.56000,0.20000
-0.00081359997,4.56000,0.20000
-0.00081351999,4.56000,0.20000
-0.00081344001,4.40000,0.00
-0.00081335998,4.48000,0.20000
-0.00081328000,4.48000,0.20000
-0.00081320002,4.48000,0.40000
-0.00081311999,4.40000,0.20000
-0.00081304001,4.40000,0.40000
-0.00081295997,4.40000,0.20000
-0.00081288000,4.32000,0.40000
-0.00081280002,4.32000,0.20000
-0.00081271998,4.32000,0.40000
-0.00081264001,4.32000,0.20000
-0.00081255997,4.24000,0.60000
-0.00081247999,4.32000,0.20000
-0.00081240002,4.16000,0.60000
-0.00081231998,4.16000,0.40000
-0.00081224000,4.08000,0.60000
-0.00081215997,4.08000,0.40000
-0.00081207999,4.00000,0.80000
-0.00081200001,3.92000,0.40000
-0.00081191998,3.84000,1.00000
-0.00081184000,3.76000,0.60000
-0.00081176002,3.68000,0.80000
-0.00081167999,3.68000,0.80000
-0.00081160001,3.60000,1.00000
-0.00081151997,3.52000,1.00000
-0.00081144000,3.36000,1.00000
-0.00081136002,3.28000,1.00000
-0.00081127998,3.20000,1.20000
-0.00081120001,3.20000,1.00000
-0.00081111997,3.04000,1.40000
-0.00081103999,2.96000,1.20000
-0.00081096002,2.88000,1.40000
-0.00081087998,2.80000,1.20000
-0.00081080000,2.64000,1.40000
-0.00081071997,2.56000,1.40000
-0.00081063999,2.48000,1.60000
-0.00081056001,2.32000,1.40000
-0.00081047998,2.32000,1.80000
-0.00081040000,2.16000,1.60000
-0.00081032002,2.16000,1.80000
-0.00081023999,2.00000,1.80000
-0.00081016001,1.92000,1.80000
-0.00081007998,1.68000,1.80000
-0.00081000000,1.68000,1.80000
-0.00080992002,1.52000,1.80000
-0.00080983998,1.44000,1.80000
-0.00080976001,1.36000,1.80000
-0.00080967997,1.20000,1.80000
-0.00080959999,1.04000,1.80000
-0.00080952002,0.96000,1.80000
-0.00080943998,0.88000,1.80000
-0.00080936000,0.72000,1.80000
-0.00080927997,0.64000,1.80000
-0.00080919999,0.56000,1.80000
-0.00080912001,0.40000,1.60000
-0.00080903998,0.32000,1.60000
-0.00080896000,0.16000,1.40000
-0.00080888002,0.08000,1.40000
-0.00080879999,-0.08000,1.40000
-0.00080872001,-0.24000,1.40000
-0.00080863998,-0.32000,1.40000
-0.00080856000,-0.40000,1.40000
-0.00080848002,-0.56000,1.20000
-0.00080839999,-0.64000,1.20000
-0.00080832001,-0.80000,1.20000
-0.00080823997,-0.88000,1.20000
-0.00080816000,-0.96000,1.20000
-0.00080808002,-1.12000,1.20000
-0.00080799998,-1.20000,1.00000
-0.00080792001,-1.28000,1.00000
-0.00080783997,-1.44000,1.00000
-0.00080775999,-1.52000,1.00000
-0.00080768001,-1.68000,1.00000
-0.00080759998,-1.68000,1.00000
-0.00080752000,-1.84000,1.00000
-0.00080743997,-1.92000,0.80000
-0.00080735999,-2.08000,0.80000
-0.00080728001,-2.16000,0.80000
-0.00080719998,-2.24000,0.80000
-0.00080712000,-2.32000,0.80000
-0.00080704002,-2.40000,0.60000
-0.00080695999,-2.56000,0.60000
-0.00080688001,-2.56000,0.60000
-0.00080679997,-2.72000,0.60000
-0.00080672000,-2.80000,0.60000
-0.00080664002,-2.88000,0.60000
-0.00080655998,-2.96000,0.60000
-0.00080648001,-2.96000,0.60000
-0.00080639997,-3.12000,0.60000
-0.00080631999,-3.20000,0.60000
-0.00080624002,-3.20000,0.60000
-0.00080615998,-3.36000,0.60000
-0.00080608000,-3.52000,0.40000
-0.00080599997,-3.52000,0.40000
-0.00080591999,-3.68000,0.80000
-0.00080584001,-3.68000,0.60000
-0.00080575998,-3.84000,0.80000
-0.00080568000,-3.92000,0.40000
-0.00080560002,-4.00000,0.80000
-0.00080551999,-4.08000,0.40000
-0.00080544001,-4.16000,0.60000
-0.00080535997,-4.16000,0.40000
-0.00080528000,-4.24000,0.60000
-0.00080520002,-4.24000,0.40000
-0.00080511998,-4.24000,0.60000
-0.00080504001,-4.24000,0.40000
-0.00080495997,-4.32000,0.60000
-0.00080487999,-4.24000,0.40000
-0.00080480002,-4.32000,0.60000
-0.00080471998,-4.32000,0.20000
-0.00080464000,-4.32000,0.40000
-0.00080455997,-4.40000,0.20000
-0.00080447999,-4.40000,0.40000
-0.00080440001,-4.32000,0.20000
-0.00080431998,-4.40000,0.40000
-0.00080424000,-4.32000,0.20000
-0.00080416002,-4.40000,0.40000
-0.00080407999,-4.40000,0.20000
-0.00080400001,-4.32000,0.40000
-0.00080391997,-4.32000,0.20000
-0.00080384000,-4.32000,0.20000
-0.00080376002,-4.16000,0.20000
-0.00080367998,-4.24000,0.20000
-0.00080360001,-4.16000,0.00
-0.00080351997,-4.16000,0.00
-0.00080343999,-4.16000,0.00
-0.00080336002,-4.08000,0.20000
-0.00080327998,-4.00000,-0.20000
-0.00080320000,-4.08000,0.00
-0.00080311997,-3.92000,-0.20000
-0.00080303999,-3.92000,-0.20000
-0.00080296001,-3.84000,-0.20000
-0.00080287998,-3.84000,-0.20000
-0.00080280000,-3.76000,-0.40000
-0.00080272002,-3.60000,-0.40000
-0.00080263999,-3.60000,-0.40000
-0.00080256001,-3.52000,-0.40000
-0.00080247998,-3.52000,-0.40000
-0.00080240000,-3.28000,-0.60000
-0.00080232002,-3.20000,-0.60000
-0.00080223999,-3.20000,-0.60000
-0.00080216001,-3.12000,-0.60000
-0.00080207997,-3.04000,-0.80000
-0.00080200000,-2.88000,-0.80000
-0.00080192002,-2.80000,-0.80000
-0.00080183998,-2.72000,-0.80000
-0.00080176000,-2.64000,-1.00000
-0.00080167997,-2.56000,-1.00000
-0.00080159999,-2.48000,-1.20000
-0.00080152001,-2.40000,-1.20000
-0.00080143998,-2.24000,-1.20000
-0.00080136000,-2.16000,-1.20000
-0.00080127997,-2.08000,-1.20000
-0.00080119999,-1.92000,-1.20000
-0.00080112001,-1.84000,-1.20000
-0.00080103998,-1.76000,-1.40000
-0.00080096000,-1.60000,-1.40000
-0.00080088002,-1.52000,-1.40000
-0.00080079999,-1.44000,-1.40000
-0.00080072001,-1.20000,-1.40000
-0.00080063997,-1.20000,-1.40000
-0.00080056000,-1.04000,-1.40000
-0.00080048002,-0.96000,-1.40000
-0.00080039998,-0.88000,-1.40000
-0.00080032001,-0.80000,-1.40000
-0.00080023997,-0.56000,-1.20000
-0.00080015999,-0.56000,-1.20000
-0.00080008002,-0.32000,-1.20000
-0.00079999998,-0.24000,-1.20000
-0.00079992000,-0.16000,-1.20000
-0.00079983997,-0.08000,-1.20000
-0.00079975999,0.08000,-1.20000
-0.00079968001,0.16000,-1.20000
-0.00079959998,0.32000,-1.00000
-0.00079952000,0.40000,-1.20000
-0.00079944002,0.64000,-1.00000
-0.00079935999,0.64000,-1.00000
-0.00079928001,0.80000,-0.80000
-0.00079919997,0.88000,-1.00000
-0.00079912000,1.04000,-0.80000
-0.00079904002,1.04000,-0.80000
-0.00079895998,1.28000,-0.80000
-0.00079888001,1.36000,-0.80000
-0.00079879997,1.44000,-0.60000
-0.00079871999,1.60000,-0.60000
-0.00079864002,1.68000,-0.60000
-0.00079855998,1.68000,-0.40000
-0.00079848000,1.92000,-0.60000
-0.00079839997,2.00000,-0.60000
-0.00079831999,2.08000,-0.40000
-0.00079824001,2.24000,-0.40000
-0.00079815998,2.32000,-0.40000
-0.00079808000,2.32000,-0.40000
-0.00079800002,2.48000,-0.40000
-0.00079791999,2.56000,-0.40000
-0.00079784001,2.64000,-0.40000
-0.00079775997,2.72000,-0.40000
-0.00079768000,2.88000,-0.40000
-0.00079760002,2.96000,-0.40000
-0.00079751998,2.96000,-0.20000
-0.00079744001,3.12000,-0.20000
-0.00079735997,3.20000,-0.20000
-0.00079727999,3.28000,-0.20000
-0.00079720002,3.36000,-0.20000
-0.00079711998,3.36000,-0.20000
-0.00079704000,3.52000,-0.20000
-0.00079695997,3.60000,-0.20000
-0.00079687999,3.68000,0.00
-0.00079680001,3.76000,0.00
-0.00079671998,3.84000,0.20000
-0.00079664000,4.00000,-0.20000
-0.00079656002,4.08000,0.40000
-0.00079647999,4.16000,0.00
-0.00079640001,4.24000,0.40000
-0.00079631998,4.24000,0.00
-0.00079624000,4.32000,0.40000
-0.00079616002,4.32000,0.00
-0.00079607998,4.32000,0.40000
-0.00079600001,4.40000,0.00
-0.00079591997,4.40000,0.40000
-0.00079583999,4.40000,0.00
-0.00079576002,4.40000,0.40000
-0.00079567998,4.40000,0.00
-0.00079560000,4.40000,0.40000
-0.00079551997,4.40000,0.00
-0.00079543999,4.48000,0.40000
-0.00079536001,4.48000,0.00
-0.00079527998,4.48000,0.40000
-0.00079520000,4.48000,0.20000
-0.00079512002,4.40000,0.40000
-0.00079503999,4.56000,0.00
-0.00079496001,4.40000,0.40000
-0.00079487998,4.40000,0.20000
-0.00079480000,4.40000,0.40000
-0.00079472002,4.40000,0.20000
-0.00079463999,4.32000,0.40000
-0.00079456001,4.32000,0.20000
-0.00079447997,4.32000,0.60000
-0.00079440000,4.32000,0.20000
-0.00079432002,4.24000,0.60000
-0.00079423998,4.24000,0.40000
-0.00079416001,4.16000,0.60000
-0.00079407997,4.08000,0.40000
-0.00079399999,4.00000,0.80000
-0.00079392001,4.00000,0.40000
-0.00079383998,3.92000,0.80000
-0.00079376000,3.92000,0.60000
-0.00079367997,3.76000,1.00000
-0.00079359999,3.68000,0.60000
-0.00079352001,3.68000,1.00000
-0.00079343998,3.60000,0.80000
-0.00079336000,3.60000,1.00000
-0.00079328002,3.36000,0.80000
-0.00079319999,3.36000,1.20000
-0.00079312001,3.28000,1.00000
-0.00079303997,3.20000,1.20000
-0.00079296000,3.12000,1.00000
-0.00079288002,2.96000,1.20000
-0.00079279998,2.88000,1.20000
-0.00079272001,2.80000,1.40000
-0.00079263997,2.72000,1.20000
-0.00079255999,2.64000,1.60000
-0.00079248002,2.56000,1.40000
-0.00079239998,2.40000,1.80000
-0.00079232000,2.32000,1.60000
-0.00079223997,2.24000,1.60000
-0.00079215999,2.08000,1.60000
-0.00079208001,2.00000,1.80000
-0.00079199998,1.92000,1.60000
-0.00079192000,1.76000,1.80000
-0.00079184002,1.68000,1.80000
-0.00079175999,1.60000,1.80000
-0.00079168001,1.44000,1.80000
-0.00079159997,1.36000,2.00000
-0.00079152000,1.20000,1.80000
-0.00079144002,1.04000,1.80000
-0.00079135998,0.96000,1.80000
-0.00079128001,0.88000,1.80000
-0.00079119997,0.80000,1.80000
-0.00079111999,0.64000,1.80000
-0.00079104002,0.56000,1.80000
-0.00079095998,0.40000,1.80000
-0.00079088000,0.32000,1.60000
-0.00079079997,0.24000,1.60000
-0.00079071999,0.08000,1.60000
-0.00079064001,0.00,1.60000
-0.00079055998,-0.16000,1.40000
-0.00079048000,-0.24000,1.40000
-0.00079040002,-0.40000,1.40000
-0.00079031999,-0.56000,1.20000
-0.00079024001,-0.64000,1.20000
-0.00079015997,-0.80000,1.20000
-0.00079008000,-0.88000,1.20000
-0.00079000002,-0.96000,1.20000
-0.00078991998,-1.04000,1.00000
-0.00078984001,-1.20000,1.00000
-0.00078975997,-1.28000,1.00000
-0.00078967999,-1.44000,1.00000
-0.00078960002,-1.52000,1.00000
-0.00078951998,-1.60000,1.00000
-0.00078944000,-1.68000,1.00000
-0.00078935997,-1.84000,0.80000
-0.00078927999,-1.92000,0.80000
-0.00078920001,-2.00000,0.80000
-0.00078911998,-2.16000,0.80000
-0.00078904000,-2.24000,0.80000
-0.00078896002,-2.32000,0.80000
-0.00078887999,-2.40000,0.60000
-0.00078880001,-2.48000,0.60000
-0.00078871998,-2.56000,0.60000
-0.00078864000,-2.72000,0.60000
-0.00078856002,-2.80000,0.60000
-0.00078847999,-2.80000,0.60000
-0.00078840001,-2.96000,0.60000
-0.00078831997,-2.96000,0.60000
-0.00078824000,-3.12000,0.60000
-0.00078816002,-3.12000,0.60000
-0.00078807998,-3.20000,0.40000
-0.00078800000,-3.36000,0.60000
-0.00078791997,-3.36000,0.40000
-0.00078783999,-3.52000,0.40000
-0.00078776001,-3.60000,0.40000
-0.00078767998,-3.68000,1.00000
-0.00078760000,-3.84000,0.60000
-0.00078751997,-3.92000,1.00000
-0.00078743999,-4.00000,0.60000
-0.00078736001,-4.00000,0.60000
-0.00078727998,-4.16000,0.40000
-0.00078720000,-4.16000,0.60000
-0.00078712002,-4.16000,0.40000
-0.00078703999,-4.16000,0.60000
-0.00078696001,-4.24000,0.40000
-0.00078687997,-4.32000,0.60000
-0.00078680000,-4.24000,0.40000
-0.00078672002,-4.32000,0.40000
-0.00078663998,-4.32000,0.20000
-0.00078656001,-4.32000,0.40000
-0.00078647997,-4.32000,0.20000
-0.00078639999,-4.40000,0.40000
-0.00078632002,-4.32000,0.40000
-0.00078623998,-4.32000,0.40000
-0.00078616000,-4.32000,0.20000
-0.00078607997,-4.32000,0.40000
-0.00078599999,-4.32000,0.20000
-0.00078592001,-4.32000,0.40000
-0.00078583998,-4.32000,0.20000
-0.00078576000,-4.32000,0.40000
-0.00078568002,-4.24000,0.00
-0.00078559999,-4.24000,0.20000
-0.00078552001,-4.24000,0.00
-0.00078543997,-4.24000,0.20000
-0.00078536000,-4.16000,0.00
-0.00078528002,-4.16000,0.20000
-0.00078519998,-4.08000,0.00
-0.00078512001,-4.08000,0.00
-0.00078503997,-4.08000,-0.20000
-0.00078495999,-3.92000,-0.20000
-0.00078488002,-3.92000,-0.20000
-0.00078479998,-3.84000,-0.20000
-0.00078472000,-3.84000,-0.40000
-0.00078463997,-3.76000,-0.20000
-0.00078455999,-3.76000,-0.40000
-0.00078448001,-3.60000,-0.40000
-0.00078439998,-3.52000,-0.40000
-0.00078432000,-3.52000,-0.40000
-0.00078424002,-3.36000,-0.60000
-0.00078415999,-3.28000,-0.60000
-0.00078408001,-3.20000,-0.60000
-0.00078399997,-3.04000,-0.60000
-0.00078392000,-3.04000,-0.80000
-0.00078384002,-2.96000,-0.60000
-0.00078375998,-2.80000,-0.80000
-0.00078368001,-2.80000,-0.80000
-0.00078359997,-2.64000,-1.00000
