Electrode,Label,Coord_x,Coord_y,Coord_z,Location,Grey v White,hemi,area
1,LvlPFC-OFC1,-3.1,44.25,6.85,MOF,Grey,L,OFC
2,LvlPFC-OFC2,-5.9,44.6,8.9,MOF,Grey,L,OFC
3,LvlPFC-OFC3,-8.7,45,10.95,MOF,Grey,L,OFC
4,LvlPFC-OFC4,-11.5,45.4,13,MOF,Grey,L,OFC
5,LvlPFC-OFC5,-14.34,45.6,15.11,MOF,White,L,OFC
6,LvlPFC-OFC6,-17.1785,46.0357,17.2145,MOF,White,L,OFC
7,LvlPFC-OFC7,-20.0177,46.3036,19.3218,MOF,White,L,OFC
8,LvlPFC-OFC8,-22.86,46.75,21.43,MOF,Grey,L,OFC
9,LvlPFC-OFC9,-25.61,47.1,23.47,MOF,Grey,L,OFC
10,LvlPFC-OFC10,-28.36,47.4,25.5,LOF,White,L,OFC
11,LvlPFC-OFC11,-31.11,47.6,27.54,LOF,Grey,L,OFC
12,LvlPFC-OFC12,-33.86,48,29.57,LOF,Grey,L,OFC
13,empty,-36.68,48.25,31.54,LOF,Grey,L,OFC
14,LvlPFC-OFC14,-39.5,48.5,33.5,LOF,Grey,L,OFC
15,LvlPFC-OFC15,-42.3,48.75,35.55,LOF,Grey,L,OFC
16,LdlPFC-mOFC1,-13.3258,32.2197,1.3106,MOF,Grey,L,OFC
17,LdlPFC-mOFC2,-14.9129,31.8598,4.9053,MOF,Grey,L,OFC
18,LdlPFC-mOFC3,-16.5,31.5,8.5,MOF,Grey,L,OFC
19,LdlPFC-mOFC4,-18.028,31.0278,12.0835,MOF,White,L,OFC
20,LdlPFC-mOFC5,-19.556,30.5556,15.667,MOF,White,L,OFC
21,LdlPFC-mOFC6,-21.056,30.25,19.278,DPF,White,L,DPFC
22,LdlPFC-mOFC7,-22.556,29.9445,22.889,DPF,White,L,DPFC
23,LdlPFC-mOFC8,-24,29.64,26.25,DPF,White,L,DPFC
24,LdlPFC-mOFC9,-25.65,29.33,30.11,DPF,White,L,DPFC
25,LdlPFC-mOFC10,-27.3,28.97,33.65,DPF,White,L,DPFC
26,LdlPFC-mOFC11,-28.9,28.6,37.19,DPF,White,L,DPFC
27,LdlPFC-mOFC12,-30.3824,28.2333,40.7244,DPF,White,L,DPFC
28,LdlPFC-mOFC13,-31.9912,27.8667,44.2622,DPF,White,L,DPFC
29,empty,-33.6,27.5,47.8,DPF,Grey,L,DPFC
30,LdlPFC-mOFC15,-35.545,27.182,51.6364,DPF,Grey,L,DPFC
31,LdlPFC-mOFC16,-37.1321,26.8222,55.2311,DPF,Grey,L,DPFC
32,LdlPFC-ACC1,-1.75,7.6,46.75,aCC,Grey,L,ACC
33,LdlPFC-ACC2,-3.5,7.6,49.75,aCC,Grey,L,ACC
34,LdlPFC-ACC3,-5.17,7.5,52.5,aCC,Grey,L,ACC
35,LdlPFC-ACC4,-6.96,7.4,55.5,aCC,Grey,L,ACC
36,LdlPFC-ACC5,-8.75,7.375,58.5,aCC,Grey,L,ACC
37,LdlPFC-ACC6,-10.56,7.35,61.67,SFG,White,L,
38,LdlPFC-ACC7,-12.34,7.15,64.63,SFG,White,L,
39,LdlPFC-ACC8,-14.1336,7.0664,67.6,SFG,Grey,L,
40,LdlPFC-ACC9,-15.9224,6.8776,70.5667,SFG,Grey,L,
41,LdlPFC-ACC10,-17.71,6.85,73.53,SFG,Grey,L,
42,LdlPFC-ACC11,-19.5,6.75,76.5,SFG,Grey,L,
43,LdlPFC-ACC12,-21.29,6.7,79.5,SFG,Grey,L,
44,LSTG-Amy1,-14.4,3.4,-11.1333,EC,Grey,L,
45,LSTG-Amy2,-17.6333,3.5,-9.6222,EC,Grey,L,
46,empty,-20.8667,3.6,-8.1111,Amy,Grey,L,
47,LSTG-Amy4,-24.1,3.7,-6.6,Amy,Grey,L,
48,LSTG-Amy5,-27.5,3.75,-5,Amy,Grey,L,
49,LSTG-Amy6,-30.71,3.85,-3.5,Amy,White,L,
50,LSTG-Amy7,-33.93,3.85,-2,STG,White,L,
51,LSTG-Amy8,-37.1375,3.9125,-0.5,STG,White,L,
52,LSTG-Amy9,-40.35,4.05,1,STG,Grey,L,
53,LSTG-Amy10,-43.5625,4.1875,2.5,STG,Grey,L,
54,LSTG-Amy11,-46.775,4.325,4,STG,Grey,L,
55,LSTG-Amy12,-49.9875,4.4625,5.5,STG,Grey,L,
56,LSTG-Amy13,-53.2,4.6,7,STG,Grey,L,
57,EKG,0,0,0,,,,
58,EKG,0,0,0,,,,
59,empty,0,0,0,,,,
60,LdlPFC-vmPFC1,-4,38.22,15,VPF,Grey,L,VPFC
61,LdlPFC-vmPFC2,-5.713,38.8611,17.5278,VPF,Grey,L,VPFC
62,LdlPFC-vmPFC3,-7.5,39.5,20.5,VPF,Grey,L,VPFC
63,LdlPFC-vmPFC4,-9.143,40.2857,23.429,VPF,Grey,L,VPFC
64,LdlPFC-vmPFC5,-10.8953,40.8571,26.3527,VPF,Grey,L,VPFC
65,LdlPFC-vmPFC6,-12.6477,41.4286,29.2763,VPF,White,L,VPFC
66,LdlPFC-vmPFC7,-14.4,42,32.2,VPF,White,L,VPFC
67,LdlPFC-vmPFC8,-16.311,42.6666,35.2666,VPF,White,L,VPFC
68,empty,-18.222,43.3333,38.3333,DPF,White,L,DPFC
69,empty,-20.009,43.9722,41.3055,DPF,White,L,DPFC
70,LdlPFC-vmPFC11,-21.796,44.6111,44.2777,DPF,White,L,DPFC
71,empty,-23.583,45.2499,47.2499,DPF,Grey,L,DPFC
